postcode,easting,northing,latitude,longitude,street,city,district,county,region,country,numbers
SW14 8BG,520738,0174627,51.457754,-0.263567,Clare Lawn Avenue,London,Richmond upon Thames,Greater London,London,England,"10,12,14,16,18,20,22,24,26,28,30a,30,32,36,38,40,42,44,46,48,50,52"
SW14 8BH,520521,0174671,51.458196,-0.266674,Clare Lawn Avenue,London,Richmond upon Thames,Greater London,London,England,"1,2,3,4,5,6,7,8,9,11"
SW14 8BJ,520518,0174575,51.457334,-0.266727,Clare Lawn Avenue,London,Richmond upon Thames,Greater London,London,England,"36,37,39,41,43,45,47,Inwood,Sheen Gate Bungalow,Sheen Gate Lodge"
SW14 8BL,520700,0175100,51.462014,-0.263953,Palewell Park,London,Richmond upon Thames,Greater London,London,England,
SW14 8BN,521000,0175600,51.466443,-0.259465,Queen's Road,London,Richmond upon Thames,Greater London,London,England,
SW14 8BP,521048,0175547,51.465957,-0.258793,Avenue Gardens,London,Richmond upon Thames,Greater London,London,England,"8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,Flat Gnd Flr 23,Upper Flat 23,24a,24,25,1,2,3,4,5,6,7,27,28,29,30,31,Cemetery Lodge,The Spur"
SW14 8BQ,520615,0174647,51.457960,-0.265330,Clare Lawn Avenue,London,Richmond upon Thames,Greater London,London,England,"1,2,3,4,5,6,7,8,9,10,11,12,14,15"
SW14 8BS,521110,0175472,51.465269,-0.257926,Avenue Gardens,London,Richmond upon Thames,Greater London,London,England,"98a,98,100,102,Flat 1 At 104,Flat 2 At 104,106,108"
SW14 8BT,521095,0175565,51.466108,-0.258110,Avenue Gardens,London,Richmond upon Thames,Greater London,London,England,"1,3,5,7,9,11,13,15,Flat Gnd Flr 17,Flat 1st Flr At 17,19,21,23,25,27,29,31,33,35,1 Gospatric Home House,2 Gospatric Home House,3 Gospatric Home House,4 Gospatric Home House,5 Gospatric Home House,6 Gospatric Home House,7 Gospatric Home House,8 Gospatric Home House,9 Gospatric Home House,10 Gospatric Home House,11 Gospatric Home House,12 Gospatric Home House,13 Gospatric Home House,14 Gospatric Home House"
SW14 8BU,521208,0175608,51.466471,-0.256470,Grosvenor Avenue,London,Richmond upon Thames,Greater London,London,England,"39,41,43,45,47,49,51,53,55,57,59,61a,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103"
SW14 8BX,521156,0175570,51.466140,-0.257231,Grosvenor Avenue,London,Richmond upon Thames,Greater London,London,England,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,Flat Gnd Flr 34,Flat 1st Flr At 34,34,36,38,40,42,44,46"
SW14 8BY,521212,0175538,51.465841,-0.256436,Grosvenor Gardens,London,Richmond upon Thames,Greater London,London,England,"1,2,3,4,5,32,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,24,26,28,30"
SW14 8BZ,521166,0175477,51.465302,-0.257119,Grosvenor Gardens,London,Richmond upon Thames,Greater London,London,England,"78,Flat Gnd Flr 80,Flat 1st Flr 80,80,Flat Gnd Flr 82,Flat 1st Flr At 82,84a,84b,86,88,90,92,94,96"
SW14 8DA,521251,0175484,51.465347,-0.255894,Sutherland Gardens,London,Richmond upon Thames,Greater London,London,England,"Flat 1 At 54,Flat 2 At 54,56,58,Flat Gnd Flr 60,Flat 1st Flr At 60,Flat 2nd Flr At 60,Flat Gnd Flr 62,Flat 1st Flr Rear At 62,Flat 3 At 62,Flat 4 At 62,64,66,Flat 1 At 68,Flat 2 At 68,68,70,Flat 1 At 72,Flat 2 At 72,Flat 3 At 72,72,74,76"
SW14 8DB,521289,0175554,51.465968,-0.255323,Sutherland Gardens,London,Richmond upon Thames,Greater London,London,England,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33"
SW14 8DD,521328,0175496,51.465438,-0.254781,Sutherland Gardens,London,Richmond upon Thames,Greater London,London,England,"38a,38b,Rear Of 38,38,40,Flat A 42,44a,Flat Gnd Flr Rear At 44,Flat Gnd Flr 46,Flat 1 (1st Flr) At 46,46,Flat Gnd Flr 48,Flat 1 (1st Flr) At 48,48,50,52a,52b,52c"
SW14 8DE,521400,0175500,51.465459,-0.253744,Sutherland Gardens,London,Richmond upon Thames,Greater London,London,England,
SW14 8DF,521436,0175529,51.465712,-0.253216,Priests Bridge,Barnes,Richmond upon Thames,Greater London,London,England,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,70,71,72"
SW14 8DG,521100,0175600,51.466422,-0.258026,Lodge Avenue,London,Richmond upon Thames,Greater London,London,England,
SW14 8DL,520834,0175639,51.466829,-0.261841,Alexandra Road,London,Richmond upon Thames,Greater London,London,England,"1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53"
SW14 8DN,520809,0175640,51.466844,-0.262200,Alexandra Road,London,Richmond upon Thames,Greater London,London,England,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58"
SW14 8DP,520869,0175468,51.465285,-0.261395,Paynesfield Avenue,London,Richmond upon Thames,Greater London,London,England,"Flat 148,Gnd Flr Flat 148,Flat 1st Flr At 148,Flat Gnd Flr 150,Flat 1st Flr At 150,Flat A 154,Flat B 154,Flat C 154,Flat D 154,Maisonette 154,Flat A 156,Flat B 156,Flat C 156,Flat D 156"
SW14 8DQ,520532,0175905,51.469284,-0.266096,Vineyard Path,London,Richmond upon Thames,Greater London,London,England,
SW14 8DR,520883,0175527,51.465812,-0.261174,Lewin Road,London,Richmond upon Thames,Greater London,London,England,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,49,51"
SW14 8DS,520981,0175468,51.465261,-0.259784,King's Road,London,Richmond upon Thames,Greater London,London,England,"130a,132,Maisonette 1st & 2nd Flrs At 134,136a,Maisonette 138,140b,140,142,144"
SW14 8DT,521042,0175471,51.465275,-0.258905,Gordon Avenue,London,Richmond upon Thames,Greater London,London,England,"Flat 1 At 110,Flat 2 At 110,Flat 3 At 110,Flat 4 At 110,Flat 6 At 110,Flat 7 At 110,Flat 8 At 110,110-112,Flat 5 At 112,Flat 6 At 112,Flat 7 At 112,Flat 8 At 112,Flat 9 At 112,Maisonette 114,Maisonette 1st & 2nd Flrs At 116,118,120,122,124,126,128b,Flat 2 At 128"
SW14 8DU,520978,0175427,51.464893,-0.259841,Gordon Avenue,London,Richmond upon Thames,Greater London,London,England,"Flat 1 At 177,Flat 2 At 177,Flat 3 At 177,Flat 4 At 177,Flat 5 At 177,Flat 6 At 177,177"
SW14 8DW,520853,0175532,51.465863,-0.261604,Paynesfield Avenue,London,Richmond upon Thames,Greater London,London,England,"1a,1b,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,24,25,Flat Gnd Flr 26,Flat 1st Flr At 26,27,28,29,30,31,32,33,34,36"
SW14 8DX,520998,0175354,51.464233,-0.259578,Wallorton Gardens,London,Richmond upon Thames,Greater London,London,England,"1,2a,2b,2,3,4,5,6,7,8,9,10,11a,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,39,41"
SW14 8DY,521082,0175291,51.463649,-0.258391,Parkfield Avenue,London,Richmond upon Thames,Greater London,London,England,"1,2,3,5,7a,7,9,11,15,17,19,21,23,25,27"
SW14 8DZ,521037,0175376,51.464422,-0.259010,Gordon Avenue,London,Richmond upon Thames,Greater London,London,England,"1,2,3,4a,4,5,6,7,8,9,10,11,12,13,14,15,16,18,20,22,24,Gordon House"
SW14 8EA,521143,0175388,51.464507,-0.257480,Shottfield Avenue,London,Richmond upon Thames,Greater London,London,England,"2a,2b,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,25"
SW14 8EB,521141,0175440,51.464975,-0.257491,Shottfield Avenue,London,Richmond upon Thames,Greater London,London,England,Oxford House 169
SW14 8ED,521355,0175443,51.464956,-0.254411,Sutherland Gardens,London,Richmond upon Thames,Greater London,London,England,"9,11,School House East Sheen School,1 Mitchell Court,2 Mitchell Court,3 Mitchell Court,4 Mitchell Court,5 Mitchell Court,6 Mitchell Court,7 Mitchell Court,8 Mitchell Court,9 Mitchell Court,10 Mitchell Court,11 Mitchell Court"
SW14 8EE,521175,0175383,51.464456,-0.257022,Shottfield Avenue,London,Richmond upon Thames,Greater London,London,England,"2,4,6,8,10,12,14,16,18,20"
SW14 8EF,521210,0175349,51.464143,-0.256530,Shottfield Avenue,London,Richmond upon Thames,Greater London,London,England,"1,3,5,7,9,11,13,15,17a,17,19,Studio Flat 21,21,23,25,27,29,31,33,35a,Caretakers House 35"
SW14 8EG,521200,0175300,51.463704,-0.256690,Parkfield Avenue,London,Richmond upon Thames,Greater London,London,England,
SW14 8EH,521031,0174983,51.460891,-0.259230,Sunbury Avenue,London,Richmond upon Thames,Greater London,London,England,"37a,37,39,41,43,45,47,49,51,53,55"
SW14 8EJ,520603,0175932,51.469512,-0.265065,Vineyard Path,London,Richmond upon Thames,Greater London,London,England,"Flat 1 At 31,Flat 2 At 31,Flat 3 At 31,Flat 4 At 31,Flat 5 At 31,Flat 6 At 31,Flat 7 At 31,Flat 8 At 31,Flat 9 At 31,Flat 10 At 31,Flat 11 At 31,Flat 12 At 31"
SW14 8EL,520577,0175912,51.469338,-0.265446,Alder Road,London,Richmond upon Thames,Greater London,London,England,"33,35,37,39,41,43,45"
SW14 8EN,520532,0175905,51.469284,-0.266096,Vineyard Path,London,Richmond upon Thames,Greater London,London,England,
SW14 8EQ,521006,0175014,51.461175,-0.259579,Sunbury Avenue,London,Richmond upon Thames,Greater London,London,England,"22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52"
SW14 8ER,520593,0175837,51.468660,-0.265241,Alder Road,London,Richmond upon Thames,Greater London,London,England,"2,3a,3,4,5a,5,6,7a,7,8,9a,9,10,11a,11,13,15,17,19 Front,Flat Rear 19,21,23,25,27,29,31,38,40,42,44,46,48,50,52,54,56,58a,58"
SW14 8ET,520652,0175920,51.469393,-0.264364,Victoria Road,London,Richmond upon Thames,Greater London,London,England,"Flat 1 At 10,Flat 2 At 10,Flat 3 At 10,Flat 4 At 10,29,30"
SW14 8EU,520634,0175853,51.468795,-0.264645,Victoria Road,London,Richmond upon Thames,Greater London,London,England,"1,2,3,4,5,6,7,8"
SW14 8EW,520532,0175905,51.469284,-0.266096,Vineyard Path,London,Richmond upon Thames,Greater London,London,England,
SW14 8EX,520659,0175834,51.468619,-0.264292,Victoria Road,London,Richmond upon Thames,Greater London,London,England,"1,2a,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,49,51,53,55,57,59,61"
SW14 8EY,520706,0175902,51.469220,-0.263570,Mullins Path,London,Richmond upon Thames,Greater London,London,England,"1 Wisteria House,2 Wisteria House,3 Wisteria House,4 Wisteria House"
SW14 8EZ,520737,0175844,51.468692,-0.263166,Mullins Path,London,Richmond upon Thames,Greater London,London,England,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,21 Addington Court,22 Addington Court,23 Addington Court,24 Addington Court,1 Capel Court,2 Capel Court,3 Capel Court,4 Capel Court,5 Capel Court,6 Capel Court,7 Capel Court,8 Capel Court,1 Addington Court,2 Addington Court,3 Addington Court,4 Addington Court,5 Addington Court,6 Addington Court,7 Addington Court,8 Addington Court,9 Addington Court,10 Addington Court,11 Addington Court,12 Addington Court,13 Addington Court,14 Addington Court,15 Addington Court,16 Addington Court,17 Addington Court,18 Addington Court,19 Addington Court,20 Addington Court"
SW14 8FB,520532,0175905,51.469284,-0.266096,Vineyard Path,London,Richmond upon Thames,Greater London,London,England,
SW14 8FD,520855,0175527,51.465818,-0.261577,Paynesfield Avenue,London,Richmond upon Thames,Greater London,London,England,
SW14 8FE,520855,0175527,51.465818,-0.261577,Paynesfield Avenue,London,Richmond upon Thames,Greater London,London,England,
SW14 8FF,520532,0175905,51.469284,-0.266096,Vineyard Path,London,Richmond upon Thames,Greater London,London,England,
SW14 8FG,520532,0175905,51.469284,-0.266096,Vineyard Path,London,Richmond upon Thames,Greater London,London,England,
SW14 8FH,520532,0175905,51.469284,-0.266096,Vineyard Path,London,Richmond upon Thames,Greater London,London,England,
